3.5	CARDINAL
Project - Intelligent Onboarding Solution	ORG
Noida	GPE
July 2022 - Present	DATE
Developed Minutes of Meeting ( MoM )	WORK_OF_ART
SoP	ORG
TCS Research and Innovation Labs	ORG
Noida | Jun	PERSON
2021 - June 2022	DATE
CM	ORG
CM	ORG
Fusion Charts
	PRODUCT
TCS Research and Innovation Labs	ORG
Noida |	PERSON
May 2019	DATE
Knowledge 
  Synthesis	ORG
QA	ORG
Chatbot Frameworks
   	WORK_OF_ART
Knadia - TCS Internal	ORG
Release Engineer	PERSON
TCS Research and Innovation Labs	ORG
Noida | Sept 2018	PERSON
Python	ORG
Landmark Group	ORG
McKinsey, MTN Group	ORG
Cainz	ORG
Computer Science & Engineering	ORG
KIET Group of Institutions	ORG
AKTU	ORG
2014 - 2018	DATE
Data Housekeeping	ORG
Knowledge Graph	PERSON
Graph
   	PERSON
Audit Logs	ORG
Knowledge Graph	PERSON
PoCs	ORG
McKinsey	ORG
GoI	ORG
LandMark Group	ORG
R&I	ORG
KNADIA	ORG
R&I	ORG
IP Safe	ORG
Microsoft Certified Azure Fundamentals Certification	ORG
