third	ORDINAL
Python	WORK_OF_ART
Recognition	ORG
app	ORG
Flask and VueJS	ORG
Natural Language Processing	ORG
Microsoft Azure	ORG
2022-23	DATE
Google Cloud Platform	ORG
Gurugram	PERSON
Haryana	PERSON
India	GPE
July 2022 - March 2023	DATE
9 months	DATE
Infotech Limited	PERSON
Delhi	GPE
India	GPE
January 2022 - July 2022	DATE
6 months	DATE
Ready Talent	PERSON
Microsoft	ORG
December 2021 - January 2022	DATE
2 months	DATE
Google Developer Student Clubs	WORK_OF_ART
July 2022	DATE
9 months	DATE
SKILLS & ABILITIES	ORG
Learn|Seaboarn|Spacy|TF.2O
	PRODUCT
HTML | CSS | JavaScript
	PRODUCT
CODE2HELL.AZUREWEBSITES.NET/
 
 
	PERSON
Flappy Bird	FAC
Rock Paper & Scissor	ORG
Blog	PERSON
Analysis	PERSON
House	ORG
NLP	ORG
2 months	DATE
OpenSorce	ORG
2019 - 2023	DATE
7.8	CARDINAL
12TH	CARDINAL
2019	DATE
60%	PERCENT
Dhanbad	GPE
10TH	CARDINAL
8.4	CARDINAL
KHAND420	CARDINAL
