English	LANGUAGE
Hindi	PERSON
Himanshu Ramchandani	PERSON
Mentor	GPE
1%	PERCENT
every day	DATE
Madhya Pradesh	GPE
India	GPE
1%	PERCENT
every day	DATE
• Over six years	DATE
Python	GPE
JavaScript	ORG
GCP	ORG
more than 400	CARDINAL
Healthcare	ORG
Image Analytics	ORG
Computer Vision	ORG
Deep Learning	ORG
DataDexter - Data Engineering	ORG
Apache	PRODUCT
Apache AirFlow	ORG
Kibana	GPE
Deploying Data Pipelines	ORG
Batch	PERSON
Building Kafka	PERSON
Apache Kafka	PERSON
Apache	PRODUCT
Docker	PERSON
Kubernetes	PERSON
Data Science	WORK_OF_ART
Python	ORG
SQL	ORG
Machine Learning	PERSON
Numpy	PERSON
100	CARDINAL
more than 50	CARDINAL
AI Hackathons	FAC
500	CARDINAL
Python, Machine Learning	ORG
Git GitHub	PERSON
NLP	ORG
Computer Vision	ORG
HTML	ORG
CSS	ORG
JavaScript	ORG
ReactJS	ORG
5000	CARDINAL
Artiﬁcial Intelligence	ORG
NLP	ORG
2	CARDINAL
4
 
 
	QUANTITY
September 2018 - 	DATE
4 years 11 months	DATE
India	GPE
NLP	ORG
Computer Vision, Data	ORG
Full Stack Software Development	ORG
AI	GPE
Integration of AI	ORG
AI	ORG
August 2019	DATE
4 years	DATE
Madhya Pradesh	GPE
India	GPE
6 years 1 month	DATE
December 2019	DATE
3 years 8 months	DATE
Madhya Pradesh	GPE
India	GPE
July 2018 	DATE
5 years 1 month	DATE
July 2017 	DATE
6 years 1 month	DATE
Madhya Pradesh	GPE
India	GPE
January 2017	DATE
6 years 7 months	DATE
India	GPE
Devi Ahilya Vishwavidyalaya	PERSON
Technology - MTech	ORG
Data Science	PERSON
2019 - 2021	DATE
Medicaps University	ORG
Bachelor	PERSON
Medicaps	GPE
2013 - 2017	DATE
4	CARDINAL
4	CARDINAL
