India	GPE
Acharya Institute Of Technology	ORG
2021	DATE
3	CARDINAL
Recognition	ORG
Facial
Recognition Technology	ORG
Electronics Department	ORG
Raspberry Pi High	PERSON
CameraWrote	ORG
Microsoft	ORG
Developed Python	PERSON
Performed Maintenance	PERSON
Plugins	PERSON
SOFTWARES/FRAMEWORKS &
	ORG
DSA	ORG
SQL	ORG
POSTMAN	ORG
Spring Boot	PERSON
Redis	PERSON
Spring	PRODUCT
RestApi Project	ORG
Spring Boot	ORG
Spring Boot	ORG
App	ORG
Spring Boot	PERSON
Java Spring Boot	WORK_OF_ART
CSS	ORG
the Backend of the Project	ORG
Login	PERSON
Spring Security	ORG
Application	ORG
Java Spring	DATE
3	CARDINAL
GIPHY	ORG
Postman to Get, Post	ORG
Delete	PERSON
Selenium WebDrivers	ORG
Eclipse	PRODUCT
IDE	ORG
