a Full Stack Web Developer	WORK_OF_ART
Next	ORG
TypeScript	ORG
Google	ORG
App	ORG
Feblic	NORP
DYLIT	ORG
AWS	ORG
India	GPE
2023 - April, 2023	DATE
CRM	PRODUCT
90%	PERCENT
four	CARDINAL
Yudoeo - Hyderabad	PERSON
India	GPE
2022 - Dec, 2022	DATE
Kanpur	PERSON
India	GPE
May, 2021 - Dec, 2021	DATE
CRM	PRODUCT
HRM	ORG
CMS	ORG
BDM	ORG
CRM	PRODUCT
2021	DATE
3	CARDINAL
OUR COLLEGE NEWS LETTER	ORG
D U	ORG
2014 - 2018	DATE
SECONDARY SCHOOL
	PRODUCT
Harcourt Butler Technical University	ORG
TECHNOLOGY	ORG
2019 - 2023	DATE
L A N G U A G E S	ORG
Node Js	PERSON
Java	PERSON
Nginx	ORG
AWS	ORG
Redis	ORG
Next	ORG
TypeScript	ORG
HTML	ORG
CSS	ORG
Javascript	PERSON
TailwindCss	ORG
React Native  
	ORG
